Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123_via,103.448733,-125.194608,0.0,top
D2,D,D_SOD-123_via,103.448733,-108.194608,0.0,top
D3,D,D_SOD-123_via,103.448733,-91.194608,0.0,top
D4,D,D_SOD-123_via,121.448733,-125.194608,0.0,top
D5,D,D_SOD-123_via,121.448733,-108.194608,0.0,top
D6,D,D_SOD-123_via,121.448733,-91.194608,0.0,top
D7,D,D_SOD-123_via,139.448733,-125.194608,0.0,top
D8,D,D_SOD-123_via,139.448733,-108.194608,0.0,top
D9,D,D_SOD-123_via,139.448733,-91.194608,0.0,top
D10,D,D_SOD-123_via,157.448733,-125.194608,0.0,top
D11,D,D_SOD-123_via,157.448733,-108.194608,0.0,top
D12,D,D_SOD-123_via,157.448733,-91.194608,0.0,top
D13,D,D_SOD-123_via,175.448733,-125.194608,0.0,top
D14,D,D_SOD-123_via,175.448733,-108.194608,0.0,top
D15,D,D_SOD-123_via,175.448733,-91.194608,0.0,top
D16,D,D_SOD-123_via,157.448733,-142.194608,0.0,top
D17,D,D_SOD-123_via,175.448733,-142.194608,0.0,top
D18,D,D_SOD-123_via,193.448733,-142.194608,0.0,top
D19,D,D_SOD-123_via,301.448733,-125.194608,0.0,top
D20,D,D_SOD-123_via,301.448733,-108.194608,0.0,top
D21,D,D_SOD-123_via,301.448733,-91.194608,0.0,top
D22,D,D_SOD-123_via,283.448733,-125.194608,0.0,top
D23,D,D_SOD-123_via,283.448733,-108.194608,0.0,top
D24,D,D_SOD-123_via,283.448733,-91.194608,0.0,top
D25,D,D_SOD-123_via,265.448733,-125.194608,0.0,top
D26,D,D_SOD-123_via,265.448733,-108.194608,0.0,top
D27,D,D_SOD-123_via,265.448733,-91.194608,0.0,top
D28,D,D_SOD-123_via,247.448733,-125.194608,0.0,top
D29,D,D_SOD-123_via,247.448733,-108.194608,0.0,top
D30,D,D_SOD-123_via,247.448733,-91.194608,0.0,top
D31,D,D_SOD-123_via,229.448733,-125.194608,0.0,top
D32,D,D_SOD-123_via,229.448733,-108.194608,0.0,top
D33,D,D_SOD-123_via,229.448733,-91.194608,0.0,top
D34,D,D_SOD-123_via,247.448733,-142.194608,0.0,top
D35,D,D_SOD-123_via,229.448733,-142.194608,0.0,top
D36,D,D_SOD-123_via,211.448733,-142.194608,0.0,top
PWR1,SW_SPDT,SPDT_C128955,202.448733,-89.194608,180.0,bottom
RESET1,SW,SW_SPST_TL3342,207.448733,-133.944608,0.0,top
